device_id,vehicle_id,driver_name,timestamp,latitude,longitude,speed_mph,heading_deg,altitude_ft,hdop,satellites,ignition
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:15:00-05:00,29.8882699,-96.0705044,14.3,88.7,155.6,1.0,10,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:15:20-05:00,29.8883161,-96.0690777,16.5,88.3,160.1,1.2,12,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:15:40-05:00,29.8883649,-96.0676573,17.0,88.3,155.6,1.3,11,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:16:00-05:00,29.8886075,-96.0664613,14.6,358.1,154.4,1.2,10,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:16:20-05:00,29.8898462,-96.0665240,14.0,358.1,156.1,1.2,12,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:16:40-05:00,29.8911141,-96.0665554,15.3,358.1,156.2,1.2,10,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:17:00-05:00,29.8923696,-96.0666144,13.6,358.1,158.1,0.8,8,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:17:20-05:00,29.8936000,-96.0666668,15.3,358.1,156.6,0.9,11,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:17:40-05:00,29.8948688,-96.0666851,15.7,358.1,154.2,1.0,11,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:18:00-05:00,29.8960943,-96.0667580,15.1,358.1,152.6,1.0,12,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:18:20-05:00,29.8973711,-96.0668021,14.4,358.1,156.2,0.8,11,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:18:40-05:00,29.8986144,-96.0668509,14.8,359.7,160.8,0.8,10,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:19:00-05:00,29.8989527,-96.0679377,16.5,307.6,153.5,1.4,12,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:19:20-05:00,29.9001545,-96.0680494,18.7,357.1,159.0,1.2,12,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:19:40-05:00,29.9013896,-96.0681711,19.0,357.1,159.3,0.7,9,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:20:00-05:00,29.9026440,-96.0681967,17.6,360.0,156.3,1.0,8,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:20:20-05:00,29.9039087,-96.0681748,13.4,360.0,154.1,0.7,11,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:20:40-05:00,29.9050265,-96.0680580,14.6,87.0,155.7,0.8,11,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:21:00-05:00,29.9050890,-96.0666156,13.8,88.3,156.0,1.0,10,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:21:20-05:00,29.9060228,-96.0661395,16.8,357.7,156.0,0.9,12,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:21:40-05:00,29.9072570,-96.0661844,17.0,356.8,154.6,0.9,11,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:22:00-05:00,29.9084913,-96.0662755,14.6,357.2,156.4,1.2,12,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:22:20-05:00,29.9097668,-96.0663453,15.6,357.2,157.4,0.9,12,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:22:40-05:00,29.9110196,-96.0664065,16.6,358.0,155.5,1.0,9,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:23:00-05:00,29.9122474,-96.0663414,32.7,87.3,155.6,0.7,11,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:23:20-05:00,29.9123360,-96.0632232,34.5,88.6,157.7,1.0,12,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:23:40-05:00,29.9123948,-96.0600532,32.8,89.4,157.5,1.1,8,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:24:00-05:00,29.9123939,-96.0568917,33.4,89.4,158.9,0.8,10,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:24:20-05:00,29.9131398,-96.0539006,31.9,50.0,156.0,1.3,8,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:24:40-05:00,29.9147820,-96.0513889,32.1,73.6,156.5,1.0,8,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:25:00-05:00,29.9149750,-96.0482560,34.2,88.7,156.0,1.1,8,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:25:20-05:00,29.9150160,-96.0451079,34.8,88.7,153.6,1.2,11,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:25:40-05:00,29.9151007,-96.0419160,32.5,88.7,157.9,0.8,11,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:26:00-05:00,29.9151182,-96.0387770,36.2,89.1,158.5,0.9,11,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:26:20-05:00,29.9154469,-96.0356685,34.5,66.8,155.7,1.2,11,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:26:40-05:00,29.9171040,-96.0331756,33.9,64.6,159.6,1.2,11,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:27:00-05:00,29.9174687,-96.0300509,34.9,88.4,158.0,1.2,12,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:27:20-05:00,29.9175367,-96.0268927,33.5,89.1,152.6,1.3,10,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:27:40-05:00,29.9176207,-96.0237130,35.6,87.6,153.3,1.2,8,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:28:00-05:00,29.9177057,-96.0205765,33.4,88.5,156.0,1.2,12,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:28:20-05:00,29.9177638,-96.0174192,34.2,88.5,160.7,1.1,12,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:28:40-05:00,29.9178063,-96.0142548,33.5,88.5,154.0,1.1,11,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:29:00-05:00,29.9179146,-96.0110643,34.1,88.1,158.9,1.0,12,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:29:20-05:00,29.9179725,-96.0079192,35.1,88.6,154.1,1.3,12,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:29:40-05:00,29.9180384,-96.0047692,35.3,88.7,158.1,0.8,10,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:30:00-05:00,29.9180529,-96.0015703,35.6,90.2,155.0,0.7,11,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:30:20-05:00,29.9181488,-95.9984257,35.6,88.2,155.8,1.2,12,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:30:40-05:00,29.9181861,-95.9952514,34.5,93.0,155.6,1.3,11,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:31:00-05:00,29.9172518,-95.9923058,34.6,97.6,156.9,1.1,9,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:31:20-05:00,29.9172354,-95.9891230,35.7,89.5,156.1,0.8,11,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:31:40-05:00,29.9172402,-95.9859488,35.1,89.5,156.8,1.3,10,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:32:00-05:00,29.9172841,-95.9827839,32.5,89.1,159.0,0.9,10,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:32:20-05:00,29.9173227,-95.9796079,35.3,89.4,152.4,1.1,10,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:32:40-05:00,29.9173377,-95.9764792,33.1,89.4,158.3,0.9,11,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:33:00-05:00,29.9174147,-95.9733051,35.5,90.4,156.0,1.3,12,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:33:20-05:00,29.9173848,-95.9701092,34.1,90.4,157.9,0.8,8,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:33:40-05:00,29.9173540,-95.9669589,34.1,90.0,151.6,0.8,9,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:34:00-05:00,29.9173458,-95.9638220,35.0,90.0,149.1,1.0,10,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:34:20-05:00,29.9173457,-95.9606178,34.2,90.0,154.8,0.7,12,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:34:40-05:00,29.9170078,-95.9579039,37.0,179.5,153.9,0.8,8,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:35:00-05:00,29.9142170,-95.9578571,33.2,179.5,155.2,0.8,8,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:35:20-05:00,29.9114402,-95.9578245,34.8,179.5,153.5,1.2,12,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:35:40-05:00,29.9087277,-95.9578041,35.0,179.4,156.5,1.3,9,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:36:00-05:00,29.9059838,-95.9577647,33.9,179.4,157.5,1.0,9,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:36:20-05:00,29.9032170,-95.9577331,35.0,178.6,153.9,1.2,9,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:36:40-05:00,29.9004652,-95.9577107,35.9,179.6,159.0,1.4,8,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:37:00-05:00,29.8976641,-95.9576603,33.1,179.5,153.5,0.9,8,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:37:20-05:00,29.8949169,-95.9576422,33.8,179.5,152.5,1.4,10,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:37:40-05:00,29.8921587,-95.9576112,35.2,179.5,156.7,1.2,8,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:38:00-05:00,29.8893939,-95.9575771,33.4,179.5,157.1,1.4,8,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:38:20-05:00,29.8866362,-95.9575623,34.4,179.6,154.5,1.2,11,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:38:40-05:00,29.8839120,-95.9575112,33.0,179.6,158.4,1.0,11,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:39:00-05:00,29.8811443,-95.9575001,33.4,179.6,159.2,0.8,9,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:39:20-05:00,29.8783963,-95.9574712,34.7,179.6,158.2,0.8,9,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:39:40-05:00,29.8758052,-95.9582524,34.5,224.2,158.9,1.2,8,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:40:00-05:00,29.8741266,-95.9594066,35.7,92.5,153.3,0.8,8,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:40:20-05:00,29.8739964,-95.9562656,37.6,92.6,155.3,1.3,10,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:40:40-05:00,29.8738537,-95.9531037,33.7,92.6,159.5,0.8,10,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:41:00-05:00,29.8738383,-95.9499639,35.1,89.5,155.5,0.8,12,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:41:20-05:00,29.8738684,-95.9467722,32.9,89.5,156.3,1.3,9,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:41:40-05:00,29.8738761,-95.9436118,32.8,89.5,153.9,1.3,10,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:42:00-05:00,29.8739291,-95.9404660,34.6,89.4,157.3,0.9,10,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:42:20-05:00,29.8739295,-95.9372914,34.2,89.4,157.4,1.3,8,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:42:40-05:00,29.8739690,-95.9341003,35.3,89.4,156.0,1.0,11,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:43:00-05:00,29.8740094,-95.9309701,34.1,89.4,154.0,1.0,10,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:43:20-05:00,29.8740366,-95.9278302,31.7,89.3,157.1,0.9,12,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:43:40-05:00,29.8740581,-95.9246401,33.6,89.3,156.4,0.8,10,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:44:00-05:00,29.8740894,-95.9214721,35.5,89.3,154.4,0.9,11,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:44:20-05:00,29.8741182,-95.9183242,33.8,89.6,160.3,1.2,12,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:44:40-05:00,29.8741658,-95.9151560,34.0,89.4,155.0,1.4,9,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:45:00-05:00,29.8741712,-95.9119857,35.2,89.4,154.8,1.2,11,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:45:20-05:00,29.8742114,-95.9088205,33.8,89.5,157.5,1.3,11,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:45:40-05:00,29.8742218,-95.9056634,35.1,89.3,157.0,1.4,9,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:46:00-05:00,29.8742282,-95.9025248,34.9,89.6,154.3,0.9,12,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:46:20-05:00,29.8742650,-95.8993619,33.5,89.5,155.8,1.3,12,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:46:40-05:00,29.8742748,-95.8961706,32.2,89.5,157.3,1.1,8,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:47:00-05:00,29.8743091,-95.8930209,34.5,89.5,156.7,1.3,11,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:47:20-05:00,29.8743273,-95.8898670,33.9,89.3,158.2,1.1,12,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:47:40-05:00,29.8743604,-95.8866874,32.7,89.5,153.0,1.3,12,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:48:00-05:00,29.8743906,-95.8835274,34.6,89.5,154.7,0.8,11,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:48:20-05:00,29.8743915,-95.8803592,36.7,89.6,152.3,1.0,9,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:48:40-05:00,29.8744267,-95.8771829,35.5,89.5,155.3,1.4,10,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:49:00-05:00,29.8744295,-95.8740226,33.9,89.6,155.0,1.2,9,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:49:20-05:00,29.8744501,-95.8708676,35.0,89.5,157.4,1.1,9,1
GT-88214,HEC-FLD-114,Alvey,2026-08-05T08:49:40-05:00,29.8744971,-95.8676762,35.6,89.5,156.1,1.2,10,1
