device_id,vehicle_id,driver_name,timestamp,latitude,longitude,speed_mph,heading_deg,altitude_ft,hdop,satellites,ignition
CTX-77003,KOS-07,Krenek,2026-08-11T09:15:00-05:00,30.0191040,-95.8450090,32.9,270.5,155.8,1.0,8,1
CTX-77003,KOS-07,Krenek,2026-08-11T09:15:20-05:00,30.0194960,-95.8480146,33.5,270.8,147.0,1.0,11,1
CTX-77003,KOS-07,Krenek,2026-08-11T09:15:40-05:00,30.0215613,-95.8485180,30.0,28.3,154.3,0.8,11,1
CTX-77003,KOS-07,Krenek,2026-08-11T09:16:00-05:00,30.0239857,-95.8472479,32.8,22.7,146.5,1.2,12,1
CTX-77003,KOS-07,Krenek,2026-08-11T09:16:20-05:00,30.0264436,-95.8460599,37.4,22.7,155.8,0.8,8,1
CTX-77003,KOS-07,Krenek,2026-08-11T09:16:40-05:00,30.0266155,-95.8437829,34.0,113.3,151.2,1.2,9,1
CTX-77003,KOS-07,Krenek,2026-08-11T09:17:00-05:00,30.0255577,-95.8409583,32.9,113.4,146.7,1.1,11,1
CTX-77003,KOS-07,Krenek,2026-08-11T09:17:20-05:00,30.0244997,-95.8381338,28.6,113.4,147.8,0.9,10,1
CTX-77003,KOS-07,Krenek,2026-08-11T09:17:40-05:00,30.0234485,-95.8353061,31.8,112.7,146.8,1.1,10,1
CTX-77003,KOS-07,Krenek,2026-08-11T09:18:00-05:00,30.0223846,-95.8324849,34.2,113.9,152.9,0.7,10,1
CTX-77003,KOS-07,Krenek,2026-08-11T09:18:20-05:00,30.0213020,-95.8296731,29.5,113.8,145.7,1.1,9,1
CTX-77003,KOS-07,Krenek,2026-08-11T09:18:40-05:00,30.0202282,-95.8268567,31.1,113.8,148.0,0.9,12,1
CTX-77003,KOS-07,Krenek,2026-08-11T09:19:00-05:00,30.0191541,-95.8240405,34.5,114.0,148.5,1.3,9,1
CTX-77003,KOS-07,Krenek,2026-08-11T09:19:20-05:00,30.0180722,-95.8212283,28.7,114.0,153.0,1.0,12,1
CTX-77003,KOS-07,Krenek,2026-08-11T09:19:40-05:00,30.0170263,-95.8183981,33.6,113.1,149.6,0.9,10,1
CTX-77003,KOS-07,Krenek,2026-08-11T09:20:00-05:00,30.0159689,-95.8155737,29.3,114.2,147.4,1.3,11,1
CTX-77003,KOS-07,Krenek,2026-08-11T09:20:20-05:00,30.0135144,-95.8152317,37.2,179.7,152.0,1.2,8,1
CTX-77003,KOS-07,Krenek,2026-08-11T09:20:40-05:00,30.0108501,-95.8152403,36.5,181.6,155.8,0.8,12,1
CTX-77003,KOS-07,Krenek,2026-08-11T09:21:00-05:00,30.0081865,-95.8152319,31.6,178.5,147.9,1.3,8,1
CTX-77003,KOS-07,Krenek,2026-08-11T09:21:20-05:00,30.0055227,-95.8151681,37.9,179.9,147.7,1.2,9,1
CTX-77003,KOS-07,Krenek,2026-08-11T09:21:40-05:00,30.0028583,-95.8151624,36.8,179.8,152.4,1.0,11,1
CTX-77003,KOS-07,Krenek,2026-08-11T09:22:00-05:00,30.0001938,-95.8151504,34.0,179.8,155.1,0.8,9,1
CTX-77003,KOS-07,Krenek,2026-08-11T09:22:20-05:00,29.9975293,-95.8151381,37.3,179.8,154.9,1.2,10,1
CTX-77003,KOS-07,Krenek,2026-08-11T09:22:40-05:00,29.9955330,-95.8140793,29.2,89.2,144.9,1.3,11,1
CTX-77003,KOS-07,Krenek,2026-08-11T09:23:00-05:00,29.9955637,-95.8110030,33.0,89.5,144.6,1.0,10,1
CTX-77003,KOS-07,Krenek,2026-08-11T09:23:20-05:00,29.9943330,-95.8093352,32.0,178.9,147.8,0.9,9,1
CTX-77003,KOS-07,Krenek,2026-08-11T09:23:40-05:00,29.9916690,-95.8092776,28.2,178.9,155.8,0.8,11,1
CTX-77003,KOS-07,Krenek,2026-08-11T09:24:00-05:00,29.9890049,-95.8092201,30.6,178.9,149.9,0.9,12,1
CTX-77003,KOS-07,Krenek,2026-08-11T09:24:20-05:00,29.9863409,-95.8091624,35.1,178.9,145.2,0.8,11,1
CTX-77003,KOS-07,Krenek,2026-08-11T09:24:40-05:00,29.9836769,-95.8091048,31.7,178.9,150.0,1.2,11,1
CTX-77003,KOS-07,Krenek,2026-08-11T09:25:00-05:00,29.9810129,-95.8090474,33.3,178.9,145.0,1.0,10,1
CTX-77003,KOS-07,Krenek,2026-08-11T09:25:20-05:00,29.9783489,-95.8089902,29.0,178.9,145.4,1.2,11,1
CTX-77003,KOS-07,Krenek,2026-08-11T09:25:40-05:00,29.9756848,-95.8089324,29.4,178.9,154.9,0.9,9,1
CTX-77003,KOS-07,Krenek,2026-08-11T09:26:00-05:00,29.9730208,-95.8088747,30.2,178.9,146.0,1.3,9,1
CTX-77003,KOS-07,Krenek,2026-08-11T09:26:20-05:00,29.9703568,-95.8088173,28.4,178.9,153.2,0.7,11,1
CTX-77003,KOS-07,Krenek,2026-08-11T09:26:40-05:00,29.9676928,-95.8087598,33.7,178.9,154.8,1.0,8,1
CTX-77003,KOS-07,Krenek,2026-08-11T09:27:00-05:00,29.9650288,-95.8087028,35.0,178.9,147.8,1.1,11,1
CTX-77003,KOS-07,Krenek,2026-08-11T09:27:20-05:00,29.9623647,-95.8086452,33.4,178.9,150.9,0.9,11,1
CTX-77003,KOS-07,Krenek,2026-08-11T09:27:40-05:00,29.9597007,-95.8085877,37.9,178.9,147.1,0.9,9,1
CTX-77003,KOS-07,Krenek,2026-08-11T09:28:00-05:00,29.9570367,-95.8085302,28.6,178.9,155.5,0.9,9,1
CTX-77003,KOS-07,Krenek,2026-08-11T09:28:20-05:00,29.9543727,-95.8084727,37.1,178.9,152.7,1.3,9,1
CTX-77003,KOS-07,Krenek,2026-08-11T09:28:40-05:00,29.9517087,-95.8084152,34.8,178.9,153.1,1.2,10,1
CTX-77003,KOS-07,Krenek,2026-08-11T09:29:00-05:00,29.9490453,-95.8083328,31.0,177.5,145.1,1.3,9,1
CTX-77003,KOS-07,Krenek,2026-08-11T09:29:20-05:00,29.9463818,-95.8082551,32.8,178.9,150.0,1.3,10,1
CTX-77003,KOS-07,Krenek,2026-08-11T09:29:40-05:00,29.9437178,-95.8081979,30.4,179.1,151.0,1.2,10,1
CTX-77003,KOS-07,Krenek,2026-08-11T09:30:00-05:00,29.9410541,-95.8081464,32.1,180.5,151.0,0.9,11,1
CTX-77003,KOS-07,Krenek,2026-08-11T09:30:20-05:00,29.9383897,-95.8081734,31.8,179.3,149.9,1.1,10,1
